stem,gt_chars,gt_words,cer_ocr_raw,cer_gemini_raw,cer_gain_raw,wer_ocr_raw,wer_gemini_raw,wer_gain_raw,cer_ocr_norm,cer_gemini_norm,cer_gain_norm,wer_ocr_norm,wer_gemini_norm,wer_gain_norm
BuendiaInstruccion_page_002_right,620,113,0.0532258064516129,0.06451612903225806,-0.011290322580645162,0.17699115044247787,0.21238938053097345,-0.035398230088495575,0.032520325203252036,0.04552845528455285,-0.013008130081300813,0.11504424778761062,0.1504424778761062,-0.03539823008849559
BuendiaInstruccion_page_003_left,889,161,0.04161979752530934,0.007874015748031496,0.03374578177727784,0.16149068322981366,0.018633540372670808,0.14285714285714285,0.030508474576271188,0.003389830508474576,0.027118644067796613,0.13043478260869565,0.018633540372670808,0.11180124223602483
BuendiaInstruccion_page_003_right,866,147,0.03926096997690531,0.019630484988452657,0.019630484988452657,0.1564625850340136,0.08163265306122448,0.07482993197278913,0.025551684088269456,0.006968641114982578,0.018583042973286876,0.10884353741496598,0.04081632653061224,0.06802721088435373
BuendiaInstruccion_page_004_left,111,19,0.11711711711711711,0.05405405405405406,0.06306306306306306,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.09090909090909091,0.02727272727272727,0.06363636363636364,0.21052631578947367,0.15789473684210525,0.05263157894736842
BuendiaInstruccion_page_004_right,974,169,0.08316221765913757,0.07802874743326489,0.005133470225872683,0.24260355029585798,0.20710059171597633,0.035502958579881644,0.0711340206185567,0.07216494845360824,-0.0010309278350515427,0.20118343195266272,0.1952662721893491,0.005917159763313612
CovarrubiasTesoro lengua_page_009,5964,1044,0.07293762575452717,0.028169014084507043,0.04476861167002012,0.3103448275862069,0.09291187739463602,0.21743295019157088,0.06559031281533804,0.024890682811974436,0.04069963000336361,0.29022988505747127,0.09099616858237548,0.1992337164750958
GuardiolaTratado nobleza_page_013,1134,215,0.03880070546737213,0.015873015873015872,0.02292768959435626,0.17209302325581396,0.08372093023255814,0.08837209302325583,0.03356890459363958,0.013250883392226149,0.02031802120141343,0.16279069767441862,0.07906976744186046,0.08372093023255815
GuardiolaTratado nobleza_page_014,1146,210,0.02617801047120419,0.01832460732984293,0.007853403141361258,0.10952380952380952,0.06666666666666667,0.04285714285714286,0.021015761821366025,0.013134851138353765,0.00788091068301226,0.1,0.05714285714285714,0.042857142857142864
PORCONES.228.381646_page_001,672,113,0.06696428571428571,0.05505952380952381,0.011904761904761904,0.20353982300884957,0.168141592920354,0.035398230088495575,0.0625,0.05357142857142857,0.008928571428571432,0.19469026548672566,0.1592920353982301,0.035398230088495575
PORCONES.228.381646_page_003,1596,289,0.03258145363408521,0.010025062656641603,0.022556390977443608,0.11418685121107267,0.031141868512110725,0.08304498269896193,0.02756892230576441,0.006892230576441102,0.020676691729323307,0.10380622837370242,0.02768166089965398,0.07612456747404844
PORCONES.228.381646_page_004,1618,293,0.03337453646477132,0.02904820766378245,0.004326328800988873,0.14334470989761092,0.13651877133105803,0.0068259385665528916,0.024103831891223733,0.019777503090234856,0.004326328800988877,0.12286689419795221,0.11604095563139932,0.0068259385665528916
PORCONES.23.51628_page_001,484,92,0.5537190082644629,0.0640495867768595,0.48966942148760334,0.6195652173913043,0.25,0.3695652173913043,0.5371900826446281,0.06198347107438017,0.4752066115702479,0.5760869565217391,0.25,0.32608695652173914
PORCONES.23.51628_page_002_left,1618,304,0.09147095179233622,0.05377008652657602,0.0377008652657602,0.3157894736842105,0.13486842105263158,0.18092105263157893,0.08838071693448703,0.050061804697156986,0.03831891223733004,0.3026315789473684,0.11842105263157894,0.1842105263157895
PORCONES.23.51628_page_003_left,1980,367,0.0702020202020202,0.04595959595959596,0.02424242424242424,0.329700272479564,0.2506811989100817,0.07901907356948229,0.06464646464646465,0.04090909090909091,0.023737373737373738,0.3079019073569482,0.22615803814713897,0.08174386920980925
PORCONES.23.51628_page_003_right,1952,383,0.039959016393442626,0.022028688524590164,0.01793032786885246,0.18276762402088773,0.11488250652741515,0.06788511749347258,0.035860655737704916,0.02151639344262295,0.014344262295081966,0.16971279373368145,0.1122715404699739,0.05744125326370755
PORCONES.23.51628_page_004_left,1922,364,0.05983350676378772,0.029136316337148804,0.030697190426638918,0.24725274725274726,0.14285714285714285,0.10439560439560441,0.055150884495317375,0.026534859521331947,0.028616024973985427,0.23351648351648352,0.13186813186813187,0.10164835164835165
